State,Year,Month,Civilian non-institutional population,Civilian labor force,Employed,Unemployed
Maryland,1979,9,"3,121,000","2,121,485","1,998,924","122,561"
Massachusetts,1979,9,"4,347,000","2,856,326","2,704,332","151,994"
Michigan,1979,9,"6,734,000","4,310,759","3,958,126","352,633"
Minnesota,1979,9,"2,968,000","2,064,756","1,973,901","90,855"
Mississippi,1979,9,"1,753,000","1,033,328","973,254","60,074"
Missouri,1979,9,"3,629,000","2,287,359","2,168,934","118,425"
Montana,1979,9,"573,000","374,154","354,630","19,524"
Nebraska,1979,9,"1,140,000","768,326","743,546","24,780"
Nevada,1979,9,"576,000","408,637","388,120","20,517"
New Hampshire,1979,9,"671,000","455,004","440,096","14,908"
New Jersey,1979,9,"5,564,000","3,588,171","3,337,008","251,163"
New Mexico,1979,9,"902,000","560,092","524,235","35,857"
New York,1979,9,"13,285,000","8,034,013","7,448,242","585,771"
New York city,1979,9,"5,519,000","3,071,982","2,800,413","271,569"
North Carolina,1979,9,"4,216,000","2,817,075","2,682,527","134,548"
North Dakota,1979,9,"464,000","300,827","289,470","11,357"
Ohio,1979,9,"7,959,000","5,058,005","4,755,595","302,410"
Oklahoma,1979,9,"2,174,000","1,325,062","1,280,163","44,899"
Oregon,1979,9,"1,936,000","1,261,002","1,177,933","83,069"
Pennsylvania,1979,9,"9,014,000","5,401,498","5,025,618","375,880"
Rhode Island,1979,9,"720,000","463,083","433,177","29,906"
South Carolina,1979,9,"2,180,000","1,375,073","1,307,008","68,065"
South Dakota,1979,9,"493,000","334,032","322,996","11,036"
Tennessee,1979,9,"3,347,000","2,057,201","1,933,052","124,149"
Texas,1979,9,"9,943,000","6,530,768","6,248,171","282,597"
Utah,1979,9,"936,000","612,357","584,495","27,862"
Vermont,1979,9,"370,000","245,285","232,784","12,501"
Virginia,1979,9,"3,838,000","2,546,941","2,428,755","118,186"
Washington,1979,9,"2,966,000","1,955,117","1,827,323","127,794"
West Virginia,1979,9,"1,434,000","775,983","719,372","56,611"
Wisconsin,1979,9,"3,431,000","2,340,350","2,233,931","106,419"
Wyoming,1979,9,"323,000","226,445","219,920","6,525"
Alabama,1979,10,"2,803,000","1,663,350","1,543,103","120,247"
Alaska,1979,10,"259,000","183,587","166,748","16,839"
Arizona,1979,10,"1,936,000","1,169,321","1,111,832","57,489"
Arkansas,1979,10,"1,655,000","987,977","927,948","60,029"
California,1979,10,"17,354,000","11,407,816","10,699,686","708,130"
Los Angeles County,1979,10,"5,579,000","3,691,251","3,493,108","198,143"
Colorado,1979,10,"2,089,000","1,456,190","1,386,935","69,255"
Connecticut,1979,10,"2,347,000","1,573,424","1,495,075","78,349"
Delaware,1979,10,"440,000","282,730","262,379","20,351"
District of Columbia,1979,10,"499,000","327,660","306,427","21,233"
Florida,1979,10,"7,376,000","4,173,810","3,936,833","236,977"
Georgia,1979,10,"3,856,000","2,484,341","2,360,922","123,419"
Hawaii,1979,10,"650,000","428,876","404,637","24,239"
Idaho,1979,10,"652,000","433,005","407,833","25,172"
Illinois,1979,10,"8,435,000","5,483,015","5,167,243","315,772"
Indiana,1979,10,"3,990,000","2,645,764","2,450,837","194,927"
Iowa,1979,10,"2,145,000","1,425,201","1,362,951","62,250"
Kansas,1979,10,"1,725,000","1,180,500","1,141,134","39,366"
Kentucky,1979,10,"2,630,000","1,633,338","1,539,206","94,132"
Louisiana,1979,10,"2,927,000","1,760,954","1,636,517","124,437"
Maine,1979,10,"821,000","502,937","468,322","34,615"
Maryland,1979,10,"3,123,000","2,123,593","2,001,712","121,881"
Massachusetts,1979,10,"4,349,000","2,858,732","2,706,446","152,286"
Michigan,1979,10,"6,739,000","4,313,919","3,947,190","366,729"
Minnesota,1979,10,"2,973,000","2,071,377","1,977,432","93,945"
Mississippi,1979,10,"1,755,000","1,036,479","974,352","62,127"
Missouri,1979,10,"3,633,000","2,292,215","2,169,529","122,686"
Montana,1979,10,"573,000","374,539","354,893","19,646"
Nebraska,1979,10,"1,141,000","768,780","744,034","24,746"
Nevada,1979,10,"579,000","411,311","391,024","20,287"
New Hampshire,1979,10,"673,000","456,797","441,414","15,383"
New Jersey,1979,10,"5,567,000","3,593,967","3,345,026","248,941"
New Mexico,1979,10,"904,000","561,471","525,003","36,468"
New York,1979,10,"13,286,000","8,044,467","7,456,960","587,507"
New York city,1979,10,"5,518,000","3,069,271","2,801,541","267,730"
North Carolina,1979,10,"4,225,000","2,827,308","2,689,701","137,607"
North Dakota,1979,10,"465,000","300,906","289,353","11,553"
Ohio,1979,10,"7,963,000","5,059,841","4,756,296","303,545"
Oklahoma,1979,10,"2,179,000","1,329,946","1,285,416","44,530"
Oregon,1979,10,"1,941,000","1,264,829","1,182,050","82,779"
Pennsylvania,1979,10,"9,017,000","5,416,194","5,035,975","380,219"
Rhode Island,1979,10,"719,000","464,509","434,319","30,190"
South Carolina,1979,10,"2,185,000","1,378,811","1,308,388","70,423"
South Dakota,1979,10,"494,000","334,491","323,191","11,300"
Tennessee,1979,10,"3,353,000","2,062,904","1,939,164","123,740"
Texas,1979,10,"9,974,000","6,556,039","6,272,510","283,529"
Utah,1979,10,"939,000","614,286","585,803","28,483"
Vermont,1979,10,"371,000","245,924","233,226","12,698"
Virginia,1979,10,"3,843,000","2,553,107","2,435,254","117,853"
Washington,1979,10,"2,977,000","1,959,464","1,829,800","129,664"
West Virginia,1979,10,"1,435,000","778,594","720,655","57,939"
Wisconsin,1979,10,"3,437,000","2,347,106","2,238,363","108,743"
Wyoming,1979,10,"324,000","227,633","220,822","6,811"
Alabama,1979,11,"2,806,000","1,664,951","1,545,207","119,744"
Alaska,1979,11,"260,000","183,887","167,118","16,769"
Arizona,1979,11,"1,944,000","1,179,665","1,119,450","60,215"
Arkansas,1979,11,"1,657,000","989,285","929,439","59,846"
California,1979,11,"17,397,000","11,437,692","10,732,056","705,636"
Los Angeles County,1979,11,"5,587,000","3,707,865","3,510,468","197,397"
Colorado,1979,11,"2,093,000","1,461,281","1,392,049","69,232"
Connecticut,1979,11,"2,350,000","1,577,899","1,498,655","79,244"
Delaware,1979,11,"440,000","283,258","262,906","20,352"
District of Columbia,1979,11,"498,000","326,792","305,732","21,060"
Florida,1979,11,"7,405,000","4,186,531","3,953,754","232,777"
Georgia,1979,11,"3,864,000","2,491,467","2,366,338","125,129"
Hawaii,1979,11,"652,000","429,918","406,240","23,678"
Idaho,1979,11,"653,000","433,911","407,969","25,942"
Illinois,1979,11,"8,439,000","5,501,644","5,170,104","331,540"
Indiana,1979,11,"3,993,000","2,646,575","2,445,896","200,679"
Iowa,1979,11,"2,146,000","1,428,064","1,364,504","63,560"
Kansas,1979,11,"1,727,000","1,183,454","1,143,606","39,848"
Kentucky,1979,11,"2,632,000","1,634,995","1,539,529","95,466"
Louisiana,1979,11,"2,934,000","1,769,447","1,646,020","123,427"
Maine,1979,11,"822,000","504,112","469,455","34,657"
Maryland,1979,11,"3,125,000","2,125,675","2,004,417","121,258"
Massachusetts,1979,11,"4,352,000","2,860,145","2,707,986","152,159"
Michigan,1979,11,"6,744,000","4,314,777","3,934,367","380,410"
Minnesota,1979,11,"2,978,000","2,077,588","1,980,065","97,523"
Mississippi,1979,11,"1,757,000","1,040,031","976,217","63,814"
Missouri,1979,11,"3,637,000","2,295,672","2,169,229","126,443"
Montana,1979,11,"573,000","374,958","355,129","19,829"
Nebraska,1979,11,"1,142,000","769,220","744,639","24,581"
Nevada,1979,11,"583,000","413,727","393,610","20,117"
New Hampshire,1979,11,"674,000","458,489","442,773","15,716"
New Jersey,1979,11,"5,570,000","3,595,316","3,351,857","243,459"
New Mexico,1979,11,"906,000","562,440","525,403","37,037"
New York,1979,11,"13,287,000","8,046,086","7,461,673","584,413"
New York city,1979,11,"5,517,000","3,065,026","2,801,817","263,209"
North Carolina,1979,11,"4,234,000","2,835,694","2,695,440","140,254"
North Dakota,1979,11,"465,000","300,962","289,123","11,839"
Ohio,1979,11,"7,967,000","5,057,914","4,755,289","302,625"
Oklahoma,1979,11,"2,184,000","1,334,056","1,290,139","43,917"
Oregon,1979,11,"1,946,000","1,268,295","1,186,276","82,019"
Pennsylvania,1979,11,"9,020,000","5,428,217","5,045,457","382,760"
Rhode Island,1979,11,"719,000","465,898","435,254","30,644"
South Carolina,1979,11,"2,189,000","1,382,133","1,309,807","72,326"
South Dakota,1979,11,"494,000","334,940","323,317","11,623"
Tennessee,1979,11,"3,360,000","2,067,523","1,944,036","123,487"
Texas,1979,11,"10,005,000","6,581,769","6,295,448","286,321"
Utah,1979,11,"942,000","616,305","586,967","29,338"
Vermont,1979,11,"372,000","246,570","233,669","12,901"
Virginia,1979,11,"3,848,000","2,556,456","2,439,933","116,523"
Washington,1979,11,"2,988,000","1,963,474","1,831,706","131,768"
West Virginia,1979,11,"1,436,000","780,758","721,421","59,337"
Wisconsin,1979,11,"3,442,000","2,351,669","2,240,158","111,511"
Wyoming,1979,11,"326,000","228,710","221,609","7,101"
Alabama,1979,12,"2,809,000","1,666,044","1,546,087","119,957"
Alaska,1979,12,"260,000","184,357","167,607","16,750"
Arizona,1979,12,"1,951,000","1,190,048","1,126,195","63,853"
Arkansas,1979,12,"1,659,000","990,904","930,868","60,036"
California,1979,12,"17,441,000","11,459,312","10,756,724","702,588"
Los Angeles County,1979,12,"5,594,000","3,724,440","3,526,617","197,823"
Colorado,1979,12,"2,098,000","1,465,918","1,396,744","69,174"
Connecticut,1979,12,"2,352,000","1,581,752","1,501,565","80,187"
Delaware,1979,12,"439,000","283,390","263,176","20,214"
District of Columbia,1979,12,"497,000","325,915","304,966","20,949"
Florida,1979,12,"7,434,000","4,198,924","3,969,198","229,726"
Georgia,1979,12,"3,871,000","2,498,072","2,370,401","127,671"
Hawaii,1979,12,"654,000","431,236","408,161","23,075"
Idaho,1979,12,"654,000","434,295","407,475","26,820"
Illinois,1979,12,"8,444,000","5,516,566","5,169,767","346,799"
Indiana,1979,12,"3,996,000","2,645,461","2,439,157","206,304"
Iowa,1979,12,"2,146,000","1,430,579","1,365,755","64,824"
Kansas,1979,12,"1,729,000","1,185,506","1,144,742","40,764"
Kentucky,1979,12,"2,635,000","1,636,511","1,538,616","97,895"
Louisiana,1979,12,"2,941,000","1,775,044","1,653,058","121,986"
Maine,1979,12,"822,000","504,859","470,140","34,719"
Maryland,1979,12,"3,126,000","2,128,322","2,006,767","121,555"
Massachusetts,1979,12,"4,354,000","2,860,694","2,708,829","151,865"
Michigan,1979,12,"6,749,000","4,313,929","3,917,534","396,395"
Minnesota,1979,12,"2,982,000","2,083,406","1,981,965","101,441"
Mississippi,1979,12,"1,759,000","1,044,021","978,859","65,162"
Missouri,1979,12,"3,641,000","2,297,685","2,167,641","130,044"
Montana,1979,12,"573,000","375,405","355,269","20,136"
Nebraska,1979,12,"1,143,000","769,553","745,093","24,460"
Nevada,1979,12,"586,000","415,856","395,699","20,157"
New Hampshire,1979,12,"675,000","460,010","443,989","16,021"
New Jersey,1979,12,"5,573,000","3,593,971","3,356,934","237,037"
New Mexico,1979,12,"908,000","563,059","525,440","37,619"
New York,1979,12,"13,288,000","8,040,294","7,460,829","579,465"
New York city,1979,12,"5,517,000","3,060,424","2,800,795","259,629"
North Carolina,1979,12,"4,243,000","2,842,242","2,699,034","143,208"
North Dakota,1979,12,"465,000","301,077","288,964","12,113"
Ohio,1979,12,"7,970,000","5,054,867","4,751,575","303,292"
Oklahoma,1979,12,"2,189,000","1,337,649","1,294,204","43,445"
Oregon,1979,12,"1,951,000","1,271,900","1,189,898","82,002"
Pennsylvania,1979,12,"9,023,000","5,436,940","5,052,287","384,653"
Rhode Island,1979,12,"719,000","467,117","435,923","31,194"
South Carolina,1979,12,"2,194,000","1,384,755","1,311,202","73,553"
South Dakota,1979,12,"494,000","335,383","323,352","12,031"
Tennessee,1979,12,"3,366,000","2,071,011","1,946,863","124,148"
Texas,1979,12,"10,035,000","6,609,263","6,316,803","292,460"
Utah,1979,12,"945,000","618,661","588,238","30,423"
Vermont,1979,12,"373,000","247,170","234,066","13,104"
Virginia,1979,12,"3,853,000","2,557,218","2,442,148","115,070"
Washington,1979,12,"3,000,000","1,967,356","1,833,162","134,194"
West Virginia,1979,12,"1,437,000","782,584","721,633","60,951"
Wisconsin,1979,12,"3,447,000","2,354,066","2,238,443","115,623"
Wyoming,1979,12,"327,000","229,690","222,323","7,367"
Alabama,1980,1,"2,812,000","1,666,594","1,545,102","121,492"
Alaska,1980,1,"261,000","184,951","168,115","16,836"
Arizona,1980,1,"1,959,000","1,199,875","1,131,550","68,325"
Arkansas,1980,1,"1,661,000","992,602","931,492","61,110"
California,1980,1,"17,485,000","11,475,997","10,771,482","704,515"
Los Angeles County,1980,1,"5,602,000","3,740,478","3,539,552","200,926"
Colorado,1980,1,"2,102,000","1,470,282","1,400,615","69,667"
Connecticut,1980,1,"2,355,000","1,584,557","1,503,361","81,196"
Delaware,1980,1,"439,000","283,209","263,181","20,028"
District of Columbia,1980,1,"495,000","325,218","304,283","20,935"
Florida,1980,1,"7,463,000","4,210,270","3,980,580","229,690"
Georgia,1980,1,"3,879,000","2,504,584","2,372,221","132,363"
Hawaii,1980,1,"656,000","432,730","410,280","22,450"
Idaho,1980,1,"655,000","433,983","406,044","27,939"
Illinois,1980,1,"8,448,000","5,527,858","5,165,643","362,215"
Indiana,1980,1,"4,000,000","2,643,812","2,429,913","213,899"
Iowa,1980,1,"2,147,000","1,432,696","1,366,013","66,683"
Kansas,1980,1,"1,731,000","1,186,808","1,144,402","42,406"
Kentucky,1980,1,"2,637,000","1,638,679","1,536,646","102,033"
Louisiana,1980,1,"2,948,000","1,777,343","1,656,635","120,708"
Maine,1980,1,"822,000","505,405","470,433","34,972"
Maryland,1980,1,"3,128,000","2,131,570","2,007,990","123,580"
Massachusetts,1980,1,"4,357,000","2,860,287","2,708,207","152,080"
Michigan,1980,1,"6,753,000","4,312,467","3,893,661","418,806"
Minnesota,1980,1,"2,987,000","2,088,673","1,983,093","105,580"
Mississippi,1980,1,"1,760,000","1,048,126","981,537","66,589"
Missouri,1980,1,"3,645,000","2,298,482","2,163,901","134,581"
Montana,1980,1,"573,000","375,699","355,143","20,556"
Nebraska,1980,1,"1,143,000","769,732","745,059","24,673"
Nevada,1980,1,"589,000","417,663","397,125","20,538"
New Hampshire,1980,1,"676,000","461,317","444,850","16,467"
New Jersey,1980,1,"5,575,000","3,591,186","3,358,678","232,508"
New Mexico,1980,1,"911,000","563,382","525,066","38,316"
New York,1980,1,"13,290,000","8,028,702","7,452,203","576,499"
New York city,1980,1,"5,516,000","3,056,259","2,798,489","257,770"
North Carolina,1980,1,"4,252,000","2,847,007","2,699,371","147,636"
North Dakota,1980,1,"465,000","301,266","288,889","12,377"
Ohio,1980,1,"7,974,000","5,053,919","4,743,072","310,847"
Oklahoma,1980,1,"2,194,000","1,340,634","1,297,081","43,553"
Oregon,1980,1,"1,955,000","1,276,153","1,192,015","84,138"
Pennsylvania,1980,1,"9,026,000","5,441,419","5,053,355","388,064"
Rhode Island,1980,1,"719,000","468,068","436,278","31,790"
South Carolina,1980,1,"2,199,000","1,386,955","1,312,179","74,776"
South Dakota,1980,1,"494,000","335,756","323,169","12,587"
Tennessee,1980,1,"3,372,000","2,072,929","1,946,630","126,299"
Texas,1980,1,"10,066,000","6,637,791","6,335,078","302,713"
Utah,1980,1,"948,000","621,442","589,704","31,738"
Vermont,1980,1,"373,000","247,648","234,308","13,340"
Virginia,1980,1,"3,858,000","2,555,905","2,441,154","114,751"
Washington,1980,1,"3,011,000","1,970,995","1,833,580","137,415"
West Virginia,1980,1,"1,438,000","783,947","721,196","62,751"
Wisconsin,1980,1,"3,452,000","2,354,564","2,232,506","122,058"
Wyoming,1980,1,"329,000","230,599","222,990","7,609"
Alabama,1980,2,"2,815,000","1,666,602","1,541,785","124,817"
Alaska,1980,2,"261,000","185,625","168,552","17,073"
Arizona,1980,2,"1,966,000","1,208,477","1,135,235","73,242"
Arkansas,1980,2,"1,663,000","994,149","930,776","63,373"
California,1980,2,"17,528,000","11,490,920","10,775,347","715,573"
Los Angeles County,1980,2,"5,610,000","3,755,141","3,547,856","207,285"
Colorado,1980,2,"2,106,000","1,474,693","1,403,225","71,468"
Connecticut,1980,2,"2,357,000","1,586,212","1,503,701","82,511"
Delaware,1980,2,"439,000","282,926","262,975","19,951"
District of Columbia,1980,2,"494,000","324,833","303,773","21,060"
Florida,1980,2,"7,491,000","4,219,406","3,986,257","233,149"
Georgia,1980,2,"3,886,000","2,511,458","2,371,310","140,148"
Hawaii,1980,2,"657,000","434,206","412,358","21,848"
Idaho,1980,2,"655,000","433,076","403,713","29,363"
Illinois,1980,2,"8,452,000","5,536,017","5,156,497","379,520"
Indiana,1980,2,"4,003,000","2,642,605","2,417,618","224,987"
Iowa,1980,2,"2,148,000","1,434,587","1,364,847","69,740"
Kansas,1980,2,"1,733,000","1,187,614","1,142,755","44,859"
Kentucky,1980,2,"2,640,000","1,641,478","1,533,609","107,869"
Louisiana,1980,2,"2,955,000","1,776,694","1,656,961","119,733"
Maine,1980,2,"823,000","505,790","470,257","35,533"
Maryland,1980,2,"3,130,000","2,135,312","2,007,631","127,681"
Massachusetts,1980,2,"4,359,000","2,859,235","2,705,679","153,556"
Michigan,1980,2,"6,758,000","4,311,656","3,861,737","449,919"
Minnesota,1980,2,"2,992,000","2,093,427","1,983,277","110,150"
Mississippi,1980,2,"1,762,000","1,051,833","983,340","68,493"
Missouri,1980,2,"3,648,000","2,298,451","2,157,488","140,963"
Montana,1980,2,"573,000","375,682","354,621","21,061"
Nebraska,1980,2,"1,144,000","769,759","744,322","25,437"
Nevada,1980,2,"593,000","419,176","397,851","21,325"
New Hampshire,1980,2,"677,000","462,481","445,267","17,214"
New Jersey,1980,2,"5,578,000","3,588,284","3,356,017","232,267"
New Mexico,1980,2,"913,000","563,464","524,303","39,161"
New York,1980,2,"13,291,000","8,012,458","7,434,606","577,852"
New York city,1980,2,"5,515,000","3,052,565","2,795,127","257,438"
North Carolina,1980,2,"4,261,000","2,850,206","2,695,353","154,853"
North Dakota,1980,2,"465,000","301,513","288,772","12,741"
Ohio,1980,2,"7,978,000","5,057,615","4,728,275","329,340"
Oklahoma,1980,2,"2,199,000","1,342,783","1,298,295","44,488"
Oregon,1980,2,"1,960,000","1,281,308","1,192,007","89,301"
Pennsylvania,1980,2,"9,029,000","5,442,032","5,046,347","395,685"
Rhode Island,1980,2,"718,000","468,552","436,238","32,314"
South Carolina,1980,2,"2,203,000","1,389,421","1,312,122","77,299"
South Dakota,1980,2,"495,000","335,968","322,630","13,338"
Tennessee,1980,2,"3,379,000","2,073,587","1,943,164","130,423"
Texas,1980,2,"10,097,000","6,664,900","6,348,569","316,331"
Utah,1980,2,"951,000","624,321","591,078","33,243"
Vermont,1980,2,"374,000","248,010","234,326","13,684"
Virginia,1980,2,"3,863,000","2,553,641","2,436,777","116,864"
Washington,1980,2,"3,023,000","1,974,341","1,832,320","142,021"
West Virginia,1980,2,"1,439,000","784,805","720,029","64,776"
Wisconsin,1980,2,"3,457,000","2,353,577","2,222,732","130,845"
Wyoming,1980,2,"330,000","231,428","223,601","7,827"
Alabama,1980,3,"2,818,000","1,666,667","1,536,128","130,539"
Alaska,1980,3,"262,000","186,373","168,902","17,471"
Arizona,1980,3,"1,974,000","1,215,704","1,137,477","78,227"
Arkansas,1980,3,"1,665,000","995,492","928,681","66,811"
California,1980,3,"17,572,000","11,507,409","10,770,415","736,994"
Los Angeles County,1980,3,"5,618,000","3,767,670","3,550,959","216,711"
Colorado,1980,3,"2,111,000","1,479,234","1,404,421","74,813"
Connecticut,1980,3,"2,360,000","1,587,021","1,502,517","84,504"
Delaware,1980,3,"439,000","282,778","262,653","20,125"
District of Columbia,1980,3,"493,000","324,788","303,440","21,348"
Florida,1980,3,"7,520,000","4,226,343","3,986,769","239,574"
Georgia,1980,3,"3,894,000","2,519,056","2,368,170","150,886"
Hawaii,1980,3,"659,000","435,491","414,130","21,361"
Idaho,1980,3,"656,000","431,850","400,871","30,979"
Illinois,1980,3,"8,457,000","5,542,657","5,142,025","400,632"
Indiana,1980,3,"4,006,000","2,641,722","2,402,389","239,333"
Iowa,1980,3,"2,148,000","1,436,394","1,362,017","74,377"
Kansas,1980,3,"1,735,000","1,188,247","1,140,282","47,965"
Kentucky,1980,3,"2,642,000","1,644,595","1,529,824","114,771"
Louisiana,1980,3,"2,961,000","1,774,359","1,655,470","118,889"
Maine,1980,3,"823,000","505,948","469,557","36,391"
Maryland,1980,3,"3,132,000","2,139,573","2,006,271","133,302"
Massachusetts,1980,3,"4,362,000","2,858,359","2,701,843","156,516"
Michigan,1980,3,"6,763,000","4,312,171","3,824,771","487,400"
Minnesota,1980,3,"2,997,000","2,097,618","1,982,529","115,089"
Mississippi,1980,3,"1,764,000","1,054,900","983,854","71,046"
Missouri,1980,3,"3,652,000","2,298,603","2,149,178","149,425"
Montana,1980,3,"573,000","375,380","353,751","21,629"
Nebraska,1980,3,"1,145,000","769,719","742,935","26,784"
Nevada,1980,3,"596,000","420,579","398,042","22,537"
New Hampshire,1980,3,"678,000","463,665","445,328","18,337"
New Jersey,1980,3,"5,581,000","3,586,752","3,349,330","237,422"
New Mexico,1980,3,"915,000","563,443","523,352","40,091"
New York,1980,3,"13,292,000","7,993,688","7,409,844","583,844"
New York city,1980,3,"5,514,000","3,049,517","2,791,382","258,135"
North Carolina,1980,3,"4,270,000","2,852,358","2,687,046","165,312"
North Dakota,1980,3,"465,000","301,805","288,519","13,286"
Ohio,1980,3,"7,981,000","5,066,859","4,707,653","359,206"
Oklahoma,1980,3,"2,204,000","1,344,254","1,297,998","46,256"
Oregon,1980,3,"1,965,000","1,287,054","1,189,965","97,089"
Pennsylvania,1980,3,"9,032,000","5,441,036","5,031,810","409,226"
Rhode Island,1980,3,"718,000","468,531","435,784","32,747"
South Carolina,1980,3,"2,208,000","1,392,677","1,310,880","81,797"
South Dakota,1980,3,"495,000","335,992","321,720","14,272"
Tennessee,1980,3,"3,385,000","2,074,107","1,937,349","136,758"
Texas,1980,3,"10,127,000","6,688,533","6,357,152","331,381"
Utah,1980,3,"953,000","626,716","591,829","34,887"
Vermont,1980,3,"375,000","248,345","234,166","14,179"
Virginia,1980,3,"3,868,000","2,551,823","2,429,881","121,942"
Washington,1980,3,"3,034,000","1,977,307","1,829,358","147,949"
West Virginia,1980,3,"1,440,000","785,327","718,056","67,271"
Wisconsin,1980,3,"3,462,000","2,351,895","2,210,616","141,279"
Wyoming,1980,3,"331,000","232,206","224,164","8,042"
Alabama,1980,4,"2,822,000","1,666,794","1,528,732","138,062"
Alaska,1980,4,"262,000","187,132","169,170","17,962"
Arizona,1980,4,"1,981,000","1,221,587","1,138,920","82,667"
Arkansas,1980,4,"1,667,000","996,535","925,651","70,884"
California,1980,4,"17,615,000","11,526,649","10,761,561","765,088"
Los Angeles County,1980,4,"5,626,000","3,777,121","3,548,853","228,268"
Colorado,1980,4,"2,115,000","1,483,866","1,404,408","79,458"
Connecticut,1980,4,"2,362,000","1,587,505","1,500,222","87,283"
Delaware,1980,4,"439,000","282,899","262,306","20,593"
District of Columbia,1980,4,"492,000","324,900","303,087","21,813"
Florida,1980,4,"7,549,000","4,232,383","3,984,610","247,773"
Georgia,1980,4,"3,901,000","2,526,722","2,364,139","162,583"
Hawaii,1980,4,"661,000","436,513","415,358","21,155"
Idaho,1980,4,"657,000","430,482","397,941","32,541"
Illinois,1980,4,"8,461,000","5,548,404","5,124,072","424,332"
Indiana,1980,4,"4,009,000","2,640,200","2,385,471","254,729"
Iowa,1980,4,"2,149,000","1,437,993","1,357,605","80,388"
Kansas,1980,4,"1,736,000","1,188,810","1,137,535","51,275"
Kentucky,1980,4,"2,645,000","1,647,859","1,526,006","121,853"
Louisiana,1980,4,"2,968,000","1,771,777","1,653,934","117,843"
Maine,1980,4,"824,000","505,938","468,471","37,467"
Maryland,1980,4,"3,133,000","2,143,654","2,004,557","139,097"
Massachusetts,1980,4,"4,364,000","2,857,966","2,697,887","160,079"
Michigan,1980,4,"6,768,000","4,312,461","3,787,718","524,743"
Minnesota,1980,4,"3,002,000","2,101,069","1,981,174","119,895"
Mississippi,1980,4,"1,766,000","1,056,963","983,145","73,818"
Missouri,1980,4,"3,656,000","2,299,462","2,140,626","158,836"
Montana,1980,4,"573,000","374,785","352,582","22,203"
Nebraska,1980,4,"1,146,000","769,679","741,139","28,540"
Nevada,1980,4,"600,000","422,154","398,075","24,079"
New Hampshire,1980,4,"680,000","464,864","445,102","19,762"
New Jersey,1980,4,"5,584,000","3,586,728","3,340,318","246,410"
New Mexico,1980,4,"917,000","563,491","522,444","41,047"
New York,1980,4,"13,293,000","7,975,051","7,382,931","592,120"
New York city,1980,4,"5,513,000","3,046,786","2,787,949","258,837"
North Carolina,1980,4,"4,279,000","2,853,483","2,676,067","177,416"
North Dakota,1980,4,"466,000","302,117","288,096","14,021"
Ohio,1980,4,"7,985,000","5,079,532","4,683,514","396,018"
Oklahoma,1980,4,"2,209,000","1,345,632","1,297,112","48,520"
Oregon,1980,4,"1,970,000","1,292,615","1,186,650","105,965"
Pennsylvania,1980,4,"9,036,000","5,439,158","5,012,102","427,056"
Rhode Island,1980,4,"718,000","468,194","434,997","33,197"
South Carolina,1980,4,"2,212,000","1,396,536","1,308,866","87,670"
South Dakota,1980,4,"495,000","335,815","320,538","15,277"
Tennessee,1980,4,"3,392,000","2,074,969","1,930,639","144,330"
Texas,1980,4,"10,158,000","6,706,951","6,362,265","344,686"
Utah,1980,4,"956,000","628,294","591,741","36,553"
Vermont,1980,4,"376,000","248,736","233,934","14,802"
Virginia,1980,4,"3,873,000","2,551,419","2,422,424","128,995"
Washington,1980,4,"3,045,000","1,979,341","1,825,184","154,157"
West Virginia,1980,4,"1,442,000","785,690","715,416","70,274"
Wisconsin,1980,4,"3,468,000","2,349,824","2,198,074","151,750"
Wyoming,1980,4,"333,000","232,968","224,707","8,261"
Alabama,1980,5,"2,825,000","1,666,872","1,520,782","146,090"
Alaska,1980,5,"263,000","187,785","169,355","18,430"
Arizona,1980,5,"1,986,000","1,226,105","1,140,128","85,977"
Arkansas,1980,5,"1,668,000","997,305","922,449","74,856"
California,1980,5,"17,646,000","11,548,406","10,754,094","794,312"
Los Angeles County,1980,5,"5,632,000","3,783,058","3,542,346","240,712"
Colorado,1980,5,"2,120,000","1,488,455","1,403,676","84,779"
Connecticut,1980,5,"2,364,000","1,587,983","1,497,480","90,503"
Delaware,1980,5,"439,000","283,267","261,995","21,272"
District of Columbia,1980,5,"492,000","324,836","302,403","22,433"
Florida,1980,5,"7,574,000","4,239,330","3,982,923","256,407"
Georgia,1980,5,"3,909,000","2,533,536","2,360,789","172,747"
Hawaii,1980,5,"662,000","437,355","416,025","21,330"
Idaho,1980,5,"658,000","429,129","395,352","33,777"
Illinois,1980,5,"8,466,000","5,553,271","5,105,610","447,661"
Indiana,1980,5,"4,011,000","2,637,104","2,369,036","268,068"
Iowa,1980,5,"2,150,000","1,439,286","1,352,381","86,905"
Kansas,1980,5,"1,737,000","1,189,111","1,134,929","54,182"
Kentucky,1980,5,"2,647,000","1,651,513","1,522,888","128,625"
Louisiana,1980,5,"2,973,000","1,770,519","1,653,605","116,914"
Maine,1980,5,"825,000","505,815","467,226","38,589"
Maryland,1980,5,"3,137,000","2,147,069","2,003,045","144,024"
Massachusetts,1980,5,"4,368,000","2,858,502","2,695,062","163,440"
Michigan,1980,5,"6,769,000","4,311,401","3,755,447","555,954"
Minnesota,1980,5,"3,005,000","2,103,788","1,979,682","124,106"
Mississippi,1980,5,"1,768,000","1,057,819","981,433","76,386"
Missouri,1980,5,"3,658,000","2,301,261","2,133,304","167,957"
Montana,1980,5,"574,000","374,056","351,317","22,739"
